Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong,Tipe klasifikasi HS,Tipe klasifikasi Abusive
kak gue orang jawa maaf ya gue orang palembang kakak deh ajar aksara jawa kelak ajar budaya palembang,0,0,0,0,0,0,0,0,0,0,0,0,No,No
pegawai guardian training kayak mentang mentang kayak gembel kaos flat shoes dijutekin bangsat malas beli kabur gue matahari,1,1,0,1,0,0,0,0,1,0,1,0,Yes,Yes
xe2x80x9dpara bajing luka lady terima ganjar ratus kali lipatxe2x80x9dsanji selamat ulang laut jkt48,0,1,0,0,0,0,0,0,0,0,0,0,No,Yes
aja tolak berita hoaks sukses pilih kepala daerah wilayah kota,0,0,0,0,0,0,0,0,0,0,0,0,No,No
presiden ri jokowi kerja nya tulus ikhlas rakyat jokowi,0,0,0,0,0,0,0,0,0,0,0,0,No,No
edan tuju fabiano,0,1,0,0,0,0,0,0,0,0,0,0,No,Yes
alquran ya bang mulut kayak orang kafir bejat hina farhat abbas law,1,1,1,0,1,0,1,0,0,1,0,0,Yes,Yes
lihat beda wibawa wibawa gubernur indonesia masya allah,0,0,0,0,0,0,0,0,0,0,0,0,No,No
anjir kali lihat orang bego debat pilih kepala daerah kerja serang karakter kecewa on empok silvy and agus debat final pilih kepala daerah jakarta,1,1,0,1,0,0,0,0,1,0,1,0,Yes,Yes
gubernur zaman now gus ipul puti 2 ganjar yasin 1 djarot sihar 2 hasan anton 2 koster ace 1 nurdin sudirman 3 karolin gidot 2 keanekaragaman budaya suku agama sungguh kaya djarot hadap pese a rakercabsu,0,0,0,0,0,0,0,0,0,0,0,0,No,No
iya islam lokalisasi kristen mas nusantara mas lihat gereja bandung pakai gamelan khotbah pakai bahas sundajawa huria kristen batak protestan nusantara,0,0,0,0,0,0,0,0,0,0,0,0,No,No
cipta situasi aman tertib masyarakat jelang pilih kepala daerah 2018 kepala polisi sektor konang silaturahmi tokoh masyarakat,0,0,0,0,0,0,0,0,0,0,0,0,No,No
positif koknsepositif respon masyarakat terhadapn cangkul imporn garam imporn beras imporn jagung imporn tenaga kerja imporn esemka impornnurl,0,0,0,0,0,0,0,0,0,0,0,0,No,No
sembahyang adopsi tradisi lokal kerja hindunnistilahxc2xa0sembahyangxc2xa0pun lahir tradisi ritusxc2xa0menyembahhyang tunggal denganxc2xa0shalat sembah all,0,0,0,0,0,0,0,0,0,0,0,0,No,No
didik bodohgk larang bawa agamabiar orang islam bayar ahok sadar pilih ahok gila,1,1,1,0,0,0,0,0,1,1,0,0,Yes,Yes
ahok the best abai kaum kampret otak micin,1,1,0,1,0,0,0,0,1,0,1,0,Yes,Yes
sih otak tempurung laden lawan dungu makan hehe,1,1,1,0,0,0,0,0,1,1,0,0,Yes,Yes
awaasss berita saudara gerung susah cari kosakata bocor picing mata bibir monyong samping suara ky nhn kentut politik kotor zaman b pulang ky nhn ngedendungu xf0x9fx98x8b,1,1,1,0,0,0,1,0,0,1,0,0,Yes,Yes
pinokio umur 3 2019 ganti presiden,1,0,1,0,0,0,0,0,1,1,0,0,Yes,No
cerita silat lae xf0x9fx98x80 kho merah muda oh indonesia liang ie shen tulis cina,0,0,0,0,0,0,0,0,0,0,0,0,No,No
benci umat islam,1,0,0,1,1,0,0,0,0,0,1,0,Yes,No
provokasi mayat politisasi agama kalah pilih kepala daerah daerah khusus ibukota cebong deskripsi kalah junjung for your information ahok pilih camat wakil etnis mayoritas,1,1,1,0,0,1,0,0,0,1,0,0,Yes,Yes
gue nete,0,1,0,0,0,0,0,0,0,0,0,0,No,Yes
wkwk bani lowo,1,1,0,1,0,0,0,0,1,0,1,0,Yes,Yes
takabur lahir kuasa rakyat ulama cendikia iblis makhluk alim amp ibadah atus ratus laknat hasud takabur orang ahli ilmu filsafat failosof mari demo sendi,0,0,0,0,0,0,0,0,0,0,0,0,No,No
a orang suka konserkonser boros,0,0,0,0,0,0,0,0,0,0,0,0,No,No
makan racun ulama hukum rokok mubah,0,0,0,0,0,0,0,0,0,0,0,0,No,No
susilo bambang yudhoyono presiden ri 6 khofifah emil masyarakat no 1 bagus khofifah emil nomor,0,0,0,0,0,0,0,0,0,0,0,0,No,No
kali gemar korea pop omong teman teman idol gue banci homo,1,1,1,0,0,0,0,1,0,1,0,0,Yes,Yes
suka video uniform resource locator kisah seteru haji bolot amp malih tongtong,0,0,0,0,0,0,0,0,0,0,0,0,No,No
budaya kafir sungguh islam indah,0,0,0,0,0,0,0,0,0,0,0,0,No,No
xf0x9fx8exb6 lahm hem xf0x9fx8exa7 diam bisunkita coba rumput goyang nxe2x99xabxe2x99xabxe2x99xabxe2x99xaaxe2x99xaaxe2x99xaa,0,0,0,0,0,0,0,0,0,0,0,0,No,No
setan bisik waswas lindung allah qs alaxe2x80x99raf 200 fussilat 36,0,0,0,0,0,0,0,0,0,0,0,0,No,No
atheisngapain sibuk agama orang,0,0,0,0,0,0,0,0,0,0,0,0,No,No
lengser jokowi bangsat,1,1,1,0,0,0,0,0,1,0,0,1,Yes,Yes
selamat kakak 2019 ganti presiden 2019 presiden,0,0,0,0,0,0,0,0,0,0,0,0,No,No
bajing homonhati2 hadap anak anak utama kamar mandi laki laki biar uniform resource locator,1,1,1,0,0,0,0,1,0,1,0,0,Yes,Yes
iya cocot,1,1,1,0,0,0,0,0,1,1,0,0,Yes,Yes
budaya indonesia,0,0,0,0,0,0,0,0,0,0,0,0,No,No
ajar solata orang asing pecah belah islam,0,0,0,0,0,0,0,0,0,0,0,0,No,No
x bicara bangkai,1,1,1,0,0,0,0,0,1,1,0,0,Yes,Yes
percaya negara jajah ranah bubar sistem sistem beraja negara negara republik komunis negara negara jaja,0,0,0,0,0,0,0,0,0,0,0,0,No,No
nikmat bijak usul partai komunis indonesia iya,1,0,0,1,0,1,0,0,0,0,1,0,Yes,No
umpama orang cina usir paksa indonesia,1,0,0,1,0,1,0,0,0,0,1,0,Yes,No
bunda ngentot yuk,0,1,0,0,0,0,0,0,0,0,0,0,No,Yes
cina babi cina malingnusirchina tco9y4hiwhjp2,1,1,0,1,0,1,0,0,0,0,0,1,Yes,Yes
karno anti asing beliau jawa coba deh adakan konsensus jawa anti asing pro asing keboohannya nnkalau keliru tutup akun,0,0,0,0,0,0,0,0,0,0,0,0,No,No
proyek korupsi rezim susilo bambang yudhoyono uniform resource locator,1,0,1,0,0,0,0,0,1,1,0,0,Yes,No
wajar lihat tingkah petinggi negeri suka campur bahas indonesia bahas asing kali bicara,0,0,0,0,0,0,0,0,0,0,0,0,No,No
ab pribadi senang kompetisi positif,0,0,0,0,0,0,0,0,0,0,0,0,No,No
kitab suci agama bilang om dadak kalap,1,0,1,0,0,0,0,0,1,1,0,0,Yes,No
suka tutup mata tutup lihat te utup gara gara sipit,0,0,0,0,0,0,0,0,0,0,0,0,No,No
muslim nista kitab suci alquran alquran suku detik makna faktual umat islam makna sirat fiksi,0,0,0,0,0,0,0,0,0,0,0,0,No,No
eh kasar kampang,1,1,1,0,0,0,0,0,1,1,0,0,Yes,Yes
bentar gue rilis album the ontas wkwk,0,0,0,0,0,0,0,0,0,0,0,0,No,No
cebong bang,1,1,1,0,0,0,0,0,1,1,0,0,Yes,Yes
najis banget gue mentwit barusan he,0,1,0,0,0,0,0,0,0,0,0,0,No,Yes
transgender anjing uniform resource locator,1,1,1,0,0,0,0,1,0,1,0,0,Yes,Yes
awas bintit intip titit kucing,0,1,0,0,0,0,0,0,0,0,0,0,No,Yes
bawel bawa asa bolot bodor wkwk ya deh,0,1,0,0,0,0,0,0,0,0,0,0,No,Yes
saran bacot maling ayat langsung to the point orang paham riak kafir sesat liberal puja dukun bla blaaa hati puas deh,1,1,1,0,1,0,0,0,0,1,0,0,Yes,Yes
salah target ahok agenda utama lengser jokowi,1,0,1,0,0,0,0,0,1,0,0,1,Yes,No
kena tagar panas banget 2019 ganti presiden,1,0,1,0,0,0,0,0,1,1,0,0,Yes,No
maju duit goyang kaki pape duit nak maju kat bodoh uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0,No,Yes
huria kristen batak protestan pecah kristen katolik zaman jajah belandadl nama kristen protestan kristen khatoliknterjadilah pecah huria kristen batak protestan p kali tarutungnnnah k,0,0,0,0,0,0,0,0,0,0,0,0,No,No
baca biar pintar jepang amerika cina utang tau,0,0,0,0,0,0,0,0,0,0,0,0,No,No
prabowo kalah bantu jokowi citra ratap pilu,1,0,1,0,0,0,0,0,1,1,0,0,Yes,No
takut azan iblis,0,0,0,0,0,0,0,0,0,0,0,0,No,No
goblok bani cebong tukang tipu jilat kuasa gera bayar pakai nasi bungkus propaganda nasi bungkus gagal,1,1,0,1,0,0,0,0,1,0,1,0,Yes,Yes
cebong sewotnxf0x9fx98x82xf0x9fx98x82xf0x9fx98x82,1,1,1,0,0,0,0,0,1,1,0,0,Yes,Yes
2 gera tekan kerja keras total tingkat potensi bangsa,0,0,0,0,0,0,0,0,0,0,0,0,No,No
gubernur djarot mayoritas ai politik dewan wakil rakyat daerah dukung ahok djarot payah ya uniform resource locator,1,0,1,0,0,0,0,0,1,1,0,0,Yes,No
rezim rusak sistem sibuk cari cari salah ketemu komisi berantas korupsi alat besok perintah ganti ulang engah selesai organisasi orang,0,0,0,0,0,0,0,0,0,0,0,0,No,No
orang orang tuding antek asing asing sungguh be epuk tangan,0,0,0,0,0,0,0,0,0,0,0,0,No,No
anti asing,0,0,0,0,0,0,0,0,0,0,0,0,No,No
selamat moga kiprah tingkat nasional,0,0,0,0,0,0,0,0,0,0,0,0,No,No
asyik menang sih ulama,0,0,0,0,0,0,0,0,0,0,0,0,No,No
ketapang tenaga kerja asing asing kerja usaha masuk pt who tambang bauksit viral pilih presiden kerja era gubernur cornelis wakil,0,0,0,0,0,0,0,0,0,0,0,0,No,No
anak pecun hobi zina haha,1,1,1,0,0,0,0,1,0,1,0,0,Yes,Yes
bom surat harga syariah negara,0,0,0,0,0,0,0,0,0,0,0,0,No,No
istirahat presiden momentum saksi telinga mata rapat bentuk pacitan 2003,0,0,0,0,0,0,0,0,0,0,0,0,No,No
1979 house select committee on assassination hsca temu cacat investigasi laku fbi warren commission hsca simpul tembak laku konspirasi,0,0,0,0,0,0,0,0,0,0,0,0,No,No
asa genap 1 17 april 2018 gelar hajat pilih presiden acara negara indonesia pilih presiden moga senantiasa jalan aman lancar amin,0,0,0,0,0,0,0,0,0,0,0,0,No,No
ian pantat,0,1,0,0,0,0,0,0,0,0,0,0,No,Yes
orang pintar agama agama nista hujat orang orang bodoh orang maaf lahir idiot harga cipta tuhan iblis pintar licik,0,1,0,0,0,0,0,0,0,0,0,0,No,Yes
daftar calon presiden pilih presiden 2019 buka agustus 2018yang normatif politikus partai demokrasi indonesia juang paham 2019 ganti presiden,1,0,0,1,0,0,0,0,1,0,1,0,Yes,No
sih tolol tau perintah rezim komunis bobrok koruptor pimpin sidang dewan wakil rakyat paya cebong uniform resource locator,1,1,1,0,0,1,0,0,0,1,0,0,Yes,Yes
gue mantan mantan gue sedih pikir tidur lo gue anak berengsek laki laki,0,1,0,0,0,0,0,0,0,0,0,0,No,Yes
cina usak bangsa usir tuju,1,0,0,1,0,1,0,0,0,0,0,1,Yes,No
2019 ganti presiden konstitusional hak rakyat woiii nih plonga plongo laku otoriter,1,1,1,0,0,0,0,0,1,1,0,0,Yes,Yes
mari wujud pilih kepala daerah kota bengkulu 2018 aman damai cok adem 86 98heru,0,0,0,0,0,0,0,0,0,0,0,0,No,No
serius presiden jokowi islam nusantaraknp kristen nusantarabudhahindu kong hucu nusantara,0,0,0,0,0,0,0,0,0,0,0,0,No,No
nyata moeldoko bukti istana takut bangkit umat islam,0,0,0,0,0,0,0,0,0,0,0,0,No,No
cowok jago drasex ngentot adik luvian,0,1,0,0,0,0,0,0,0,0,0,0,No,Yes
kroasia kafir tauuungapain ajar kapirudh lupa kapling sorga,1,1,0,1,1,0,0,0,0,0,1,0,Yes,Yes
nya menteri suha o homo,1,1,1,0,0,0,0,1,0,1,0,0,Yes,Yes
tau culun takut orang ubah perlahan lahan buruk,0,0,0,0,0,0,0,0,0,0,0,0,No,No
perang salib raja afrika babilonia peluk kristen tobaco peluk islam,0,0,0,0,0,0,0,0,0,0,0,0,No,No
kejar setor bangsat rupiah turun xf0x9fx98xa5,1,1,1,0,0,0,0,0,1,1,0,0,Yes,Yes
moga tindak lapor hadap nista agama adek armando laku langsung ketua front bela islam kh shobri lubis badan reserse kriminal markas polisi republik indonesia gambir jaka a pusat selasa 104 1300 indonesia barat perhaps,1,0,1,0,1,0,0,0,0,1,0,0,Yes,No
bangkai hajar,1,1,1,0,0,0,0,0,1,0,0,1,Yes,Yes
onta mati minum,1,0,0,1,0,0,0,0,1,0,1,0,Yes,No
uniform resource locator ahok tng waswas hidup,1,0,1,0,0,0,0,0,1,1,0,0,Yes,No
sul teng ekses akibat sandera hutang cina 2019 ganti presiden 2019 presiden 2019 jokowi ganti,1,0,1,0,0,0,0,0,1,1,0,0,Yes,No
6 pride yunani xe1xbdx99xcfx80xcexb5xcfx81xcexb7xcfx86xcexb1xcexbdxcexafxcexb1hyperxc4x93phania keangkuhanharga dirikesombonganndikenal hubrisvanity harga ubah manusia sombong sombong manusia kutuk mata tuhandan manusia cinta,0,0,0,0,0,0,0,0,0,0,0,0,No,No
be anya tuju hatinlogikaku hati tenangnaku be anya logika hati sedih ku cari wasiat beliau tinggal asing asing mata manusia duhai,0,0,0,0,0,0,0,0,0,0,0,0,No,No
be aji nya komisi berantas korupsi era initapi era komitmen berantas korupsi surat pemberitahuan era susilo bambang yudhoyono,1,0,0,1,0,0,0,0,1,0,1,0,Yes,No
admin tolol ai tololnpa ai tolol orang tolol,1,1,0,1,0,0,0,0,1,0,1,0,Yes,Yes
ayu ting ting goyang hot raffi ahmad nagita slavina kampung norak uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0,No,Yes
video tenaga kerja asing malaysia kutip nyata,0,0,0,0,0,0,0,0,0,0,0,0,No,No
ppp buruburu tolak wacana pilih kepala daerah dewan wakil rakyat daerah,0,0,0,0,0,0,0,0,0,0,0,0,No,No
random pagi pagi samper meja kerja pakai bedak sih biar muka bersih istri butek soalnyaningin ku pakai air wudhu ku kristen,0,0,0,0,0,0,0,0,0,0,0,0,No,No
gue kampret,0,1,0,0,0,0,0,0,0,0,0,0,No,Yes
memek lonte sodok kontol gede,0,1,0,0,0,0,0,0,0,0,0,0,No,Yes
jokowi mundur tutup uniform resource locator,1,0,1,0,0,0,0,0,1,1,0,0,Yes,No
bicara itumulut sepe i bancibeli kaca lihat bro,1,1,1,0,0,0,0,1,0,1,0,0,Yes,Yes
amin rasisnada daninada ratna sih paiiitnada sih ontanada sih lobang anusnjdi takut oi wonkehabisan obat tenang ya,1,1,1,0,0,0,0,0,1,1,0,0,Yes,Yes
tunggu komando imam bejat cabul tai bir xf0x9fx8dxbannape2 bawa ulamandasar banj sempak,1,1,1,0,0,0,0,1,0,1,0,0,Yes,Yes
kabinet beranta pecah belah rezim,1,0,0,1,0,0,0,0,1,0,1,0,Yes,No
ih pintar orang politik kaca oi tampang kxc3xa6k orang bego wkwk,1,1,1,0,0,0,1,0,0,1,0,0,Yes,Yes
partai demokrasi indonesia juang menang tekan usaha tambang target proyek impossible lelang murah antek cina ntb contoh partai demokrasi indonesia juang menang dasar bajing,1,1,0,1,0,0,0,0,1,0,1,0,Yes,Yes
percaya mulut buaya mu bawang,1,1,1,0,0,0,0,0,1,1,0,0,Yes,Yes
2019 susilo bambang yudhoyono prabowo lawan mega jokowi peristiwa 2004 ulang partai demokrasi indonesia juang incumbent kalah mutlak susilo bambang yudhoyono jkwmegasby lawan prabowo mk pilih presiden selesai 3 poros pilih presiden mk salah lawan,0,0,0,0,0,0,0,0,0,0,0,0,No,No
kayak banci kaleng gatot gaduh gentleman mundur saing pilih presiden 2019 lawan jokowi,1,1,1,0,0,0,0,1,0,1,0,0,Yes,Yes
bebal,0,0,0,0,0,0,0,0,0,0,0,0,No,No
5 indonesia negara populasi muslim dunia islam rupa musuh barat amp komunis hambat agenda merekaobviously,0,0,0,0,0,0,0,0,0,0,0,0,No,No
umuh persibnpersib kunyuknxf0x9fx98x82xf0x9fx98x82xf0x9fx98x82,1,1,0,1,0,0,0,0,1,0,1,0,Yes,Yes
film muslim pilih ahok mati salat jamin laris,1,0,1,0,0,0,0,0,1,1,0,0,Yes,No
banu banu yahudi beda banu banu kristen suriah salah beda banu yahudi pakai eloah elohim yahwe suriah pakai alah allah,0,0,0,0,0,0,0,0,0,0,0,0,No,No
eh muka merah merah cendol setan cuaca nih panas,0,1,0,0,0,0,0,0,0,0,0,0,No,Yes
berita saracen diframing katak tim prabowo aniessandi media tumpah sakit hati katak cebong ehe,1,1,0,1,0,0,0,0,1,0,1,0,Yes,Yes
giat bhayangkara bina aman tertib masyarakat brigadir polisi manajemen bas sekolah sihombing rabu 11 april 2018 laksana sambang desa tatap muka pantau aman tertib masyarakat tuju pilih kepala daerah 2018 desa lobusiregar i rumah rudi panjaitan helm siahaan hotman siahaan,0,0,0,0,0,0,0,0,0,0,0,0,No,No
sayang banget ya lihat perempuan kayak status tempel lakilaki haduhnnagita slavina blakblakan ayu ting ting kampung xe2x80x93 viva uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0,No,Yes
lupa kang umat katolik minoritas perhati gubernur golong golong,0,0,0,0,0,0,0,0,0,0,0,0,No,No
cebong bilang kemarin ngeyelnsitu paksa cebong,1,1,1,0,0,0,0,0,1,1,0,0,Yes,Yes
lemah gerindra orang iniprabowo turun elektabilitasnya congor fadli zon surat pemberitahuan durno,1,1,1,0,0,0,0,0,1,1,0,0,Yes,Yes
selamat kakak kali raya makna kali,0,0,0,0,0,0,0,0,0,0,0,0,No,No
foto bisu milik a i susah ikansma sepe i susah ikanmau putus,0,0,0,0,0,0,0,0,0,0,0,0,No,No
wkwk alam xf0x9fx98x82xf0x9fx98x82xf0x9fx98x82xf0x9fx98x82 muncul grub wa an bani abdi had aka mbah mek kenal orang xf0x9fxa4xa3xf0x9fxa4xa3xf0x9fxa4,0,0,0,0,0,0,0,0,0,0,0,0,No,No
ayah pres badar nuqaba boekkk nih hebat bidang agama x takut natural killer tegur member lawak hambar lawak orang jom gerak gera badan chubby,0,0,0,0,0,0,0,0,0,0,0,0,No,No
orang anak pekan ilham dasar ekonomi deb gerak utama maju ekonomi bandar beliau allah ya rahman tun abdul razak ds malaysia pilih hogohundi,0,0,0,0,0,0,0,0,0,0,0,0,No,No
haha sialaaan nih sih nyata lapar presiden sikat,0,0,0,0,0,0,0,0,0,0,0,0,No,No
nasihat kali ugal ugalan nih rezim eh negeri keburu ancornah ekonomi moral meni kacaoooooo,1,0,1,0,0,0,0,0,1,1,0,0,Yes,No
alah silit kebelet kasihan orang sayang paknsetelah media sosial gue sadar instansi kemarinntar gue cerita duuuhhh xf0x9fxa4xa3xf0x9fxa4xa3xf0x9fx98x85,0,1,0,0,0,0,0,0,0,0,0,0,No,Yes
iya cacat,0,0,0,0,0,0,0,0,0,0,0,0,No,No
2019 rakyat makan aspal beton solusi jitu miskin ahli cebong 1 tukang tipu cebong goblok ketulungan plonga plongo akibat optimisme 2019 ganti presiden,1,1,0,1,0,0,0,0,1,0,1,0,Yes,Yes
baca harun yahya belot kubu yahudi freemason nyakdg suka percaya,0,0,0,0,0,0,0,0,0,0,0,0,No,No
maju ulama gerak tokoh agama indonesia gus mus,0,0,0,0,0,0,0,0,0,0,0,0,No,No
,0,0,0,0,0,0,0,0,0,0,0,0,No,No
mukidi percaya pe anyaan mudah ya keras keras nama,0,0,0,0,0,0,0,0,0,0,0,0,No,No
kemarin hujat harap dasar bani kampret,1,1,0,1,0,0,0,0,1,0,1,0,Yes,Yes
fitnah sila ban apollinaris darmawan alquran kitab sampah,1,1,0,1,1,0,0,0,0,0,1,0,Yes,Yes
monyet koloe bilang saudara ogah hidup ya hati comberan,1,1,1,0,0,0,0,0,1,1,0,0,Yes,Yes
body lufra scrub bahan dasar lidah buaya melembabkan kulit amp cahaya info 087812026394 body mass index,0,0,0,0,0,0,0,0,0,0,0,0,No,No
cacat,0,0,0,0,0,0,0,0,0,0,0,0,No,No
anut bumi datar xf0x9fx98x9dnsoalnya teori bumi bulat orang asing notabene musuh,0,0,0,0,0,0,0,0,0,0,0,0,No,No
becak warga binjai sita tenda be uliskan 2019 ganti presiden partai adil sejahtera radang bukti perintah panik takut,1,0,0,1,0,0,0,0,1,0,1,0,Yes,No
jokowi mundur,1,0,1,0,0,0,0,0,1,1,0,0,Yes,No
musyawarah nasional alim ulama ppp semarang hasil rekomendasi syarat kriteriakriteria calon wakil presiden damping jokowi 2019 romahurmuziy,0,0,0,0,0,0,0,0,0,0,0,0,No,No
cerah nya gagal anak ekonomi wkwk,0,0,0,0,0,0,0,0,0,0,0,0,No,No
kafan budaya yahudi umat islam klaim,0,0,0,0,0,0,0,0,0,0,0,0,No,No
rezim kendali negara cina komunis patron tunggal rezim anti islam jokowi,1,0,0,1,1,1,0,0,0,0,1,0,Yes,No
tanda nya pilih kepala daerah pilih presiden,0,0,0,0,0,0,0,0,0,0,0,0,No,No
misi 4 bangun masyarakat gotong royong toleran harmoni selaras nilai budaya jawa barat luhur nomor jawa barat asyik asyik menang,0,0,0,0,0,0,0,0,0,0,0,0,No,No
tabah pasang taufik puan nurliyana wajar contoh jom sumbang ringan beban pasang come on twitter do your pikir badan standar nasional 0510541000096745 bank islam 05058020145124 nurliyana bosan abdul razif,0,0,0,0,0,0,0,0,0,0,0,0,No,No
sih tai doang belaganya langit karma idol flop gue tertawa keras,1,1,1,0,0,0,0,0,1,1,0,0,Yes,Yes
celeng kangen gue iya,0,1,0,0,0,0,0,0,0,0,0,0,No,Yes
rang negeri budaya yuk unjung purwoke o mumpung even rakyat purwoke o ekstra vaganza banyumas,0,0,0,0,0,0,0,0,0,0,0,0,No,No
presiden dana taktis rakyat program program perintah program bangun infrastruktur kip kartu indonesia sehat ifikat tanah hutan sosial bahan bakar minyak 1 harga padat karya,0,0,0,0,0,0,0,0,0,0,0,0,No,No
amin ya allah tim latih ular rawarawa sungai gede musuh buaya wkwk,0,0,0,0,0,0,0,0,0,0,0,0,No,No
maju maki mama bolot,1,1,1,0,0,0,0,0,1,1,0,0,Yes,Yes
gerombol kadal jidat gosongmmg suka ribut gerombol salah pura pura budekdasar gerombol cingkrang uniform resource locator,1,1,0,1,0,0,1,0,0,0,1,0,Yes,Yes
gentar takut hadap kafirxf0x9fx98x81,0,0,0,0,0,0,0,0,0,0,0,0,No,No
saracen akun kritis anggap saracen aneh jokowi,1,0,1,0,0,0,0,0,1,1,0,0,Yes,No
bego teman gue najis kesal,1,1,1,0,0,0,0,0,1,1,0,0,Yes,Yes
kafir kristen ulah,1,1,0,1,1,0,0,0,0,0,1,0,Yes,Yes
tau bau bau cir sipit buluk,1,1,1,0,0,1,0,0,0,1,0,0,Yes,Yes
kayak pegang mucikari,0,0,0,0,0,0,0,0,0,0,0,0,No,No
guru tk darma wanita desa plumbon porong deklarasi anti hoaks benci isu sarah dukung pilih kepala daerah damai,0,0,0,0,0,0,0,0,0,0,0,0,No,No
anjir seram main xf0x9fx98x82xf0x9fx91x8c,0,1,0,0,0,0,0,0,0,0,0,0,No,Yes
kayak bank te entu bilang jual uang asingtukar rupiah,0,0,0,0,0,0,0,0,0,0,0,0,No,No
